source,target,type
R-HSA-2172127,R-HSA-9716542,h
R-HSA-1280215,R-HSA-9716542,h
R-HSA-9607240,R-HSA-9716542,h
R-HSA-9679506,R-HSA-9716542,h
R-HSA-74160,R-HSA-9716542,h
R-HSA-73857,R-HSA-9716542,h
R-HSA-212436,R-HSA-9716542,h
R-HSA-202733,R-HSA-9716542,h
R-HSA-210991,R-HSA-9716542,h
R-HSA-556833,R-HSA-9716542,h
R-HSA-202131,R-HSA-9716542,h
R-HSA-203641,R-HSA-9716542,h
R-HSA-9006931,R-HSA-9716542,h
R-HSA-8939211,R-HSA-9716542,h
R-HSA-69481,R-HSA-9716542,h
R-HSA-453274,R-HSA-9716542,h
R-HSA-9645723,R-HSA-9716542,h
R-HSA-9734009,R-HSA-9716542,h
R-HSA-449147,R-HSA-9716542,h
R-HSA-8951664,R-HSA-9716542,h
R-HSA-2990846,R-HSA-9716542,h
R-HSA-597592,R-HSA-9716542,h
R-HSA-5357801,R-HSA-9716542,h
R-HSA-109581,R-HSA-9716542,h
R-HSA-169911,R-HSA-9716542,h
R-HSA-453279,R-HSA-9716542,h
R-HSA-73894,R-HSA-9716542,h
R-HSA-5693532,R-HSA-9716542,h
R-HSA-5693606,R-HSA-9716542,h
R-HSA-5693538,R-HSA-9716542,h
R-HSA-525793,R-HSA-9716542,h
R-HSA-983231,R-HSA-9716542,h
R-HSA-73886,R-HSA-9716542,h
R-HSA-774815,R-HSA-9716542,h
R-HSA-6783310,R-HSA-9716542,h
R-HSA-5663202,R-HSA-9716542,h
R-HSA-1226099,R-HSA-9716542,h
R-HSA-9675151,R-HSA-9716542,h
R-HSA-9697154,R-HSA-9716542,h
R-HSA-6802957,R-HSA-9716542,h
R-HSA-418346,R-HSA-9716542,h
R-HSA-418360,R-HSA-9716542,h
R-HSA-5621481,R-HSA-9716542,h
R-HSA-1483249,R-HSA-9716542,h
R-HSA-196854,R-HSA-9716542,h
R-HSA-8978934,R-HSA-9716542,h
R-HSA-71387,R-HSA-9716542,h
R-HSA-8982491,R-HSA-9716542,h
R-HSA-8876725,R-HSA-9716542,h
R-HSA-397014,R-HSA-9716542,h
R-HSA-5576891,R-HSA-9716542,h
R-HSA-5578775,R-HSA-9716542,h
R-HSA-5576892,R-HSA-9716542,h
R-HSA-1852241,R-HSA-9716542,h
R-HSA-1592230,R-HSA-9716542,h
R-HSA-9709957,R-HSA-9716542,h
R-HSA-5683057,R-HSA-9716542,h
R-HSA-5684996,R-HSA-9716542,h
R-HSA-9006925,R-HSA-9716542,h
R-HSA-1489509,R-HSA-9716542,h
R-HSA-3858494,R-HSA-9716542,h
R-HSA-425407,R-HSA-9716542,h
R-HSA-983712,R-HSA-9716542,h
R-HSA-936837,R-HSA-9716542,h
R-HSA-392499,R-HSA-9716542,h
R-HSA-446203,R-HSA-9716542,h
R-HSA-6811442,R-HSA-9716542,h
R-HSA-199977,R-HSA-9716542,h
R-HSA-9006927,R-HSA-9716542,h
R-HSA-8848021,R-HSA-9716542,h
R-HSA-8953897,R-HSA-9716542,h
R-HSA-2262752,R-HSA-9716542,h
R-HSA-3371556,R-HSA-9716542,h
R-HSA-5619115,R-HSA-9716542,h
R-HSA-5619102,R-HSA-9716542,h
R-HSA-168255,R-HSA-9716542,h
R-HSA-9609646,R-HSA-9716542,h
R-HSA-162906,R-HSA-9716542,h
R-HSA-211000,R-HSA-9716542,h
R-HSA-913531,R-HSA-9716542,h
R-HSA-1430728,R-HSA-9716542,h
R-HSA-70326,R-HSA-9716542,h
R-HSA-8953854,R-HSA-9716542,h
R-HSA-194441,R-HSA-9716542,h
R-HSA-72203,R-HSA-9716542,h
R-HSA-114604,R-HSA-9716542,h
R-HSA-388841,R-HSA-9716542,h
R-HSA-5687128,R-HSA-9716542,h
R-HSA-3371497,R-HSA-9716542,h
R-HSA-2132295,R-HSA-9716542,h
R-HSA-9659379,R-HSA-9716542,h
R-HSA-9662360,R-HSA-9716542,h
R-HSA-69615,R-HSA-9716542,h
R-HSA-69242,R-HSA-9716542,h
R-HSA-2559583,R-HSA-9716542,h
R-HSA-69306,R-HSA-9716542,h
R-HSA-9675126,R-HSA-9716542,h
R-HSA-9687139,R-HSA-9716542,h
R-HSA-391251,R-HSA-9716542,h
R-HSA-390466,R-HSA-9716542,h
R-HSA-4839726,R-HSA-9716542,h
R-HSA-3247509,R-HSA-9716542,h
R-HSA-3214847,R-HSA-9716542,h
R-HSA-5696398,R-HSA-9716542,h
R-HSA-5696399,R-HSA-9716542,h
R-HSA-212165,R-HSA-9716542,h
R-HSA-5250913,R-HSA-9716542,h
R-HSA-428359,R-HSA-9716542,h
R-HSA-1227990,R-HSA-9716542,h
R-HSA-1643713,R-HSA-9716542,h
R-HSA-5218859,R-HSA-9716542,h
R-HSA-5213460,R-HSA-9716542,h
R-HSA-1227986,R-HSA-9716542,h
R-HSA-75153,R-HSA-9716542,h
R-HSA-5663205,R-HSA-194315,h
R-HSA-9679506,R-HSA-194315,h
R-HSA-74160,R-HSA-194315,h
R-HSA-73857,R-HSA-194315,h
R-HSA-212436,R-HSA-194315,h
R-HSA-109582,R-HSA-194315,h
R-HSA-202733,R-HSA-194315,h
R-HSA-210991,R-HSA-194315,h
R-HSA-556833,R-HSA-194315,h
R-HSA-202131,R-HSA-194315,h
R-HSA-203641,R-HSA-194315,h
R-HSA-9006931,R-HSA-194315,h
R-HSA-8939211,R-HSA-194315,h
R-HSA-9006934,R-HSA-194315,h
R-HSA-73887,R-HSA-194315,h
R-HSA-372790,R-HSA-194315,h
R-HSA-388396,R-HSA-194315,h
R-HSA-1643685,R-HSA-194315,h
R-HSA-9658195,R-HSA-194315,h
R-HSA-168256,R-HSA-194315,h
R-HSA-168249,R-HSA-194315,h
R-HSA-2029480,R-HSA-194315,h
R-HSA-162582,R-HSA-194315,h
R-HSA-1640170,R-HSA-194315,h
R-HSA-69620,R-HSA-194315,h
R-HSA-69618,R-HSA-194315,h
R-HSA-69278,R-HSA-194315,h
R-HSA-68886,R-HSA-194315,h
R-HSA-453276,R-HSA-194315,h
R-HSA-1280218,R-HSA-194315,h
R-HSA-983169,R-HSA-194315,h
R-HSA-5688426,R-HSA-194315,h
R-HSA-6798695,R-HSA-194315,h
R-HSA-4839726,R-HSA-194315,h
R-HSA-3247509,R-HSA-194315,h
R-HSA-3214847,R-HSA-194315,h
R-HSA-73894,R-HSA-194315,h
R-HSA-5696398,R-HSA-194315,h
R-HSA-5696399,R-HSA-194315,h
R-HSA-1266738,R-HSA-194315,h
R-HSA-9675108,R-HSA-194315,h
R-HSA-422475,R-HSA-194315,h
R-HSA-212165,R-HSA-194315,h
R-HSA-5250913,R-HSA-194315,h
R-HSA-8953854,R-HSA-194315,h
R-HSA-428359,R-HSA-194315,h
R-HSA-392499,R-HSA-194315,h
R-HSA-597592,R-HSA-194315,h
R-HSA-391251,R-HSA-194315,h
R-HSA-390466,R-HSA-194315,h
R-HSA-199991,R-HSA-194315,h
R-HSA-8856828,R-HSA-194315,h
R-HSA-5663202,R-HSA-194315,h
R-HSA-1226099,R-HSA-194315,h
R-HSA-1280215,R-HSA-194315,h
R-HSA-449147,R-HSA-194315,h
R-HSA-8951664,R-HSA-194315,h
R-HSA-2990846,R-HSA-194315,h
R-HSA-5260271,R-HSA-194315,h
R-HSA-5602358,R-HSA-194315,h
R-HSA-2454202,R-HSA-194315,h
R-HSA-2172127,R-HSA-194315,h
R-HSA-525793,R-HSA-194315,h
R-HSA-983231,R-HSA-194315,h
R-HSA-76002,R-HSA-194315,h
R-HSA-114604,R-HSA-194315,h
R-HSA-388841,R-HSA-194315,h
R-HSA-5683057,R-HSA-194315,h
R-HSA-5687128,R-HSA-194315,h
R-HSA-177929,R-HSA-194315,h
R-HSA-69481,R-HSA-194315,h
R-HSA-453274,R-HSA-194315,h
R-HSA-9645723,R-HSA-194315,h
R-HSA-9734009,R-HSA-194315,h
R-HSA-1500931,R-HSA-194315,h
R-HSA-373753,R-HSA-194315,h
R-HSA-446728,R-HSA-194315,h
R-HSA-446353,R-HSA-194315,h
R-HSA-1474244,R-HSA-194315,h
R-HSA-3000171,R-HSA-194315,h
R-HSA-76005,R-HSA-194315,h
R-HSA-112316,R-HSA-194315,h
R-HSA-112314,R-HSA-194315,h
R-HSA-5357801,R-HSA-194315,h
R-HSA-109581,R-HSA-194315,h
R-HSA-169911,R-HSA-194315,h
R-HSA-8953897,R-HSA-194315,h
R-HSA-2262752,R-HSA-194315,h
R-HSA-3371497,R-HSA-194315,h
R-HSA-2132295,R-HSA-194315,h
R-HSA-446203,R-HSA-194315,h
R-HSA-9709957,R-HSA-194315,h
R-HSA-9659379,R-HSA-194315,h
R-HSA-9662360,R-HSA-194315,h
R-HSA-6811442,R-HSA-194315,h
R-HSA-199977,R-HSA-194315,h
R-HSA-73886,R-HSA-194315,h
R-HSA-774815,R-HSA-194315,h
R-HSA-6783310,R-HSA-194315,h
R-HSA-453279,R-HSA-194315,h
R-HSA-5693532,R-HSA-194315,h
R-HSA-5693606,R-HSA-194315,h
R-HSA-5693538,R-HSA-194315,h
R-HSA-9607240,R-HSA-194315,h
R-HSA-3371556,R-HSA-194315,h
R-HSA-5619115,R-HSA-194315,h
R-HSA-5619102,R-HSA-194315,h
R-HSA-168255,R-HSA-194315,h
R-HSA-9609646,R-HSA-194315,h
R-HSA-162906,R-HSA-194315,h
R-HSA-211000,R-HSA-194315,h
R-HSA-913531,R-HSA-194315,h
R-HSA-1430728,R-HSA-194315,h
R-HSA-71387,R-HSA-194315,h
R-HSA-70326,R-HSA-194315,h
R-HSA-194441,R-HSA-194315,h
R-HSA-72203,R-HSA-194315,h
R-HSA-75153,R-HSA-194315,h
R-HSA-1227990,R-HSA-194315,h
R-HSA-1643713,R-HSA-194315,h
R-HSA-5218859,R-HSA-194315,h
R-HSA-5213460,R-HSA-194315,h
R-HSA-1227986,R-HSA-194315,h
R-HSA-9675151,R-HSA-194315,h
R-HSA-9697154,R-HSA-194315,h
R-HSA-6802957,R-HSA-194315,h
R-HSA-418346,R-HSA-194315,h
R-HSA-418360,R-HSA-194315,h
R-HSA-5621481,R-HSA-194315,h
R-HSA-1483249,R-HSA-194315,h
R-HSA-196854,R-HSA-194315,h
R-HSA-8978934,R-HSA-194315,h
R-HSA-8982491,R-HSA-194315,h
R-HSA-8876725,R-HSA-194315,h
R-HSA-397014,R-HSA-194315,h
R-HSA-5576891,R-HSA-194315,h
R-HSA-5578775,R-HSA-194315,h
R-HSA-5576892,R-HSA-194315,h
R-HSA-1852241,R-HSA-194315,h
R-HSA-1592230,R-HSA-194315,h
R-HSA-5684996,R-HSA-194315,h
R-HSA-9006925,R-HSA-194315,h
R-HSA-1489509,R-HSA-194315,h
R-HSA-3858494,R-HSA-194315,h
R-HSA-425407,R-HSA-194315,h
R-HSA-983712,R-HSA-194315,h
R-HSA-936837,R-HSA-194315,h
R-HSA-9006927,R-HSA-194315,h
R-HSA-8848021,R-HSA-194315,h
R-HSA-1640170,R-HSA-9706019,h
R-HSA-69620,R-HSA-9706019,h
R-HSA-69615,R-HSA-9706019,h
R-HSA-69278,R-HSA-9706019,h
R-HSA-453279,R-HSA-9706019,h
R-HSA-8953897,R-HSA-9706019,h
R-HSA-2262752,R-HSA-9706019,h
R-HSA-2559583,R-HSA-9706019,h
R-HSA-69306,R-HSA-9706019,h
R-HSA-9675126,R-HSA-9706019,h
R-HSA-9687139,R-HSA-9706019,h
R-HSA-74160,R-HSA-9706019,h
R-HSA-212436,R-HSA-9706019,h
R-HSA-391251,R-HSA-9706019,h
R-HSA-390466,R-HSA-9706019,h
R-HSA-1234174,R-HSA-9706019,h
R-HSA-9635486,R-HSA-9706019,h
R-HSA-8876384,R-HSA-9706019,h
R-HSA-5688426,R-HSA-9706019,h
R-HSA-8856828,R-HSA-9706019,h
R-HSA-917729,R-HSA-9706019,h
R-HSA-9711123,R-HSA-9706019,h
R-HSA-983169,R-HSA-9706019,h
R-HSA-8951664,R-HSA-9706019,h
R-HSA-5683057,R-HSA-9706019,h
R-HSA-5684996,R-HSA-9706019,h
R-HSA-5632684,R-HSA-9706019,h
R-HSA-9612973,R-HSA-9715370,h
R-HSA-1632852,R-HSA-9715370,h
R-HSA-983231,R-HSA-9715370,h
R-HSA-5663202,R-HSA-9006925,h
R-HSA-8953897,R-HSA-9006925,h
R-HSA-2262752,R-HSA-9006925,h
R-HSA-3371556,R-HSA-9006925,h
R-HSA-74160,R-HSA-9006925,h
R-HSA-212436,R-HSA-9006925,h
R-HSA-1280215,R-HSA-9006925,h
R-HSA-913531,R-HSA-9006925,h
R-HSA-5576891,R-HSA-9006925,h
R-HSA-388396,R-HSA-9006925,h
R-HSA-73887,R-HSA-9006925,h
R-HSA-1643685,R-HSA-9006925,h
R-HSA-5663205,R-HSA-9006925,h
R-HSA-163685,R-HSA-9006925,h
R-HSA-163359,R-HSA-9006925,h
R-HSA-5610787,R-HSA-9006925,h
R-HSA-445717,R-HSA-9006925,h
R-HSA-9635486,R-HSA-9006925,h
R-HSA-9612973,R-HSA-9006925,h
R-HSA-69278,R-HSA-9006925,h
R-HSA-9711123,R-HSA-9006925,h
R-HSA-422475,R-HSA-9006925,h
R-HSA-390466,R-HSA-9006925,h
R-HSA-1640170,R-HSA-9006925,h
R-HSA-1266738,R-HSA-9006925,h
R-HSA-168256,R-HSA-9006925,h
R-HSA-9607240,R-HSA-9006925,h
R-HSA-1280218,R-HSA-9006925,h
R-HSA-388841,R-HSA-9006925,h
R-HSA-109581,R-HSA-9006925,h
R-HSA-165181,R-HSA-9006925,h
R-HSA-8939211,R-HSA-9006925,h
R-HSA-4839726,R-HSA-9006925,h
R-HSA-3247509,R-HSA-9006925,h
R-HSA-3214815,R-HSA-9006925,h
R-HSA-9619665,R-HSA-9006925,h
R-HSA-212165,R-HSA-9006925,h
R-HSA-983231,R-HSA-9006925,h
R-HSA-162906,R-HSA-9006925,h
R-HSA-69620,R-HSA-9006925,h
R-HSA-69615,R-HSA-9006925,h
R-HSA-2559583,R-HSA-9006925,h
R-HSA-9682385,R-HSA-9006925,h
R-HSA-9675126,R-HSA-9006925,h
R-HSA-9687139,R-HSA-9006925,h
R-HSA-9707616,R-HSA-9006925,h
R-HSA-400253,R-HSA-9006925,h
R-HSA-9609646,R-HSA-9006925,h
R-HSA-5693532,R-HSA-9006925,h
R-HSA-5693606,R-HSA-9006925,h
R-HSA-168255,R-HSA-9006925,h
R-HSA-9675151,R-HSA-9006925,h
R-HSA-9697154,R-HSA-9006925,h
R-HSA-109582,R-HSA-9006925,h
R-HSA-5621481,R-HSA-9006925,h
R-HSA-2454202,R-HSA-9006925,h
R-HSA-1483249,R-HSA-9006925,h
R-HSA-8982491,R-HSA-9006925,h
R-HSA-3858494,R-HSA-9006925,h
R-HSA-450385,R-HSA-9006925,h
R-HSA-354192,R-HSA-9006925,h
R-HSA-114508,R-HSA-9006925,h
R-HSA-2029480,R-HSA-9006925,h
R-HSA-8856828,R-HSA-9006925,h
R-HSA-5688426,R-HSA-9006925,h
R-HSA-9027276,R-HSA-9006925,h
R-HSA-5619507,R-HSA-9006925,h
R-HSA-5617472,R-HSA-9006925,h
R-HSA-9645723,R-HSA-9006925,h
R-HSA-9734009,R-HSA-9006925,h
R-HSA-198933,R-HSA-9006925,h
R-HSA-166658,R-HSA-9006925,h
R-HSA-9711097,R-HSA-9006925,h
R-HSA-3214847,R-HSA-9006925,h
R-HSA-168249,R-HSA-9006925,h
R-HSA-9710421,R-HSA-9006925,h
R-HSA-195253,R-HSA-9006925,h
R-HSA-3214842,R-HSA-9006925,h
R-HSA-446203,R-HSA-9006925,h
R-HSA-199977,R-HSA-9006925,h
R-HSA-5357769,R-HSA-9006925,h
R-HSA-5260271,R-HSA-9006925,h
R-HSA-5602358,R-HSA-9006925,h
R-HSA-982772,R-HSA-9006925,h
R-HSA-9027284,R-HSA-9006925,h
R-HSA-9027277,R-HSA-9006925,h
R-HSA-9027283,R-HSA-9006925,h
R-HSA-1500931,R-HSA-9006925,h
R-HSA-202733,R-HSA-9006925,h
R-HSA-114604,R-HSA-9006925,h
R-HSA-2172127,R-HSA-9006925,h
R-HSA-354194,R-HSA-9006925,h
R-HSA-983169,R-HSA-9006925,h
R-HSA-1834949,R-HSA-9006925,h
R-HSA-168928,R-HSA-9006925,h
R-HSA-977225,R-HSA-9006925,h
R-HSA-264876,R-HSA-9006925,h
R-HSA-445717,R-HSA-1489509,h
R-HSA-8953897,R-HSA-1489509,h
R-HSA-2262752,R-HSA-1489509,h
R-HSA-3371556,R-HSA-1489509,h
R-HSA-1280215,R-HSA-1489509,h
R-HSA-5576891,R-HSA-1489509,h
R-HSA-1280218,R-HSA-1489509,h
R-HSA-5621481,R-HSA-1489509,h
R-HSA-3858494,R-HSA-1489509,h
R-HSA-400253,R-HSA-1489509,h
R-HSA-422475,R-HSA-1489509,h
R-HSA-5620912,R-HSA-1489509,h
R-HSA-9711123,R-HSA-1489509,h
R-HSA-109581,R-HSA-1489509,h
R-HSA-75153,R-HSA-1489509,h
R-HSA-5663202,R-HSA-1257604,h
R-HSA-2219528,R-HSA-1257604,h
R-HSA-5683057,R-HSA-1257604,h
R-HSA-5684996,R-HSA-1257604,h
R-HSA-1280218,R-HSA-1257604,h
R-HSA-198933,R-HSA-1257604,h
R-HSA-166658,R-HSA-1257604,h
R-HSA-8953897,R-HSA-1257604,h
R-HSA-2262752,R-HSA-1257604,h
R-HSA-3371556,R-HSA-1257604,h
R-HSA-1643685,R-HSA-1257604,h
R-HSA-165159,R-HSA-1257604,h
R-HSA-9675108,R-HSA-1257604,h
R-HSA-422475,R-HSA-1257604,h
R-HSA-9609646,R-HSA-1257604,h
R-HSA-8939211,R-HSA-1257604,h
R-HSA-8856828,R-HSA-1257604,h
R-HSA-1500931,R-HSA-1257604,h
R-HSA-9682385,R-HSA-1257604,h
R-HSA-9658195,R-HSA-1257604,h
R-HSA-8876384,R-HSA-1257604,h
R-HSA-202733,R-HSA-1257604,h
R-HSA-9607240,R-HSA-1257604,h
R-HSA-388841,R-HSA-1257604,h
R-HSA-2454202,R-HSA-1257604,h
R-HSA-2029480,R-HSA-1257604,h
R-HSA-2172127,R-HSA-1257604,h
R-HSA-354192,R-HSA-1257604,h
R-HSA-354194,R-HSA-1257604,h
R-HSA-9027284,R-HSA-1257604,h
R-HSA-1280215,R-HSA-1257604,h
R-HSA-1640170,R-HSA-1257604,h
R-HSA-69278,R-HSA-1257604,h
R-HSA-453279,R-HSA-1257604,h
R-HSA-9711123,R-HSA-1257604,h
R-HSA-1266738,R-HSA-1257604,h
R-HSA-5663205,R-HSA-1257604,h
R-HSA-74160,R-HSA-1257604,h
R-HSA-212436,R-HSA-1257604,h
R-HSA-168256,R-HSA-1257604,h
R-HSA-109581,R-HSA-1257604,h
R-HSA-109606,R-HSA-1257604,h
R-HSA-165181,R-HSA-1257604,h
R-HSA-388396,R-HSA-1257604,h
R-HSA-199991,R-HSA-1257604,h
R-HSA-109582,R-HSA-1257604,h
R-HSA-196854,R-HSA-1257604,h
R-HSA-8978934,R-HSA-1257604,h
R-HSA-202131,R-HSA-1257604,h
R-HSA-8953854,R-HSA-1257604,h
R-HSA-450604,R-HSA-1257604,h
R-HSA-450385,R-HSA-1257604,h
R-HSA-9707616,R-HSA-1257604,h
R-HSA-4839726,R-HSA-1257604,h
R-HSA-3247509,R-HSA-1257604,h
R-HSA-3214815,R-HSA-1257604,h
R-HSA-400253,R-HSA-1257604,h
R-HSA-1368071,R-HSA-1257604,h
R-HSA-5619507,R-HSA-1257604,h
R-HSA-5617472,R-HSA-1257604,h
R-HSA-9675151,R-HSA-1257604,h
R-HSA-9697154,R-HSA-1257604,h
R-HSA-390466,R-HSA-1257604,h
R-HSA-1592230,R-HSA-1257604,h
R-HSA-73887,R-HSA-1257604,h
R-HSA-9024446,R-HSA-1257604,h
R-HSA-2559583,R-HSA-1257604,h
R-HSA-9645723,R-HSA-1257604,h
R-HSA-9710421,R-HSA-1257604,h
R-HSA-212165,R-HSA-1257604,h
R-HSA-373753,R-HSA-1257604,h
R-HSA-162906,R-HSA-1257604,h
R-HSA-210990,R-HSA-1257604,h
R-HSA-114604,R-HSA-1257604,h
R-HSA-5621481,R-HSA-1257604,h
R-HSA-69620,R-HSA-1257604,h
R-HSA-69615,R-HSA-1257604,h
R-HSA-9675126,R-HSA-1257604,h
R-HSA-9687139,R-HSA-1257604,h
R-HSA-9734009,R-HSA-1257604,h
R-HSA-5687128,R-HSA-1257604,h
R-HSA-5260271,R-HSA-1257604,h
R-HSA-5602358,R-HSA-1257604,h
R-HSA-913531,R-HSA-1257604,h
R-HSA-112316,R-HSA-1257604,h
R-HSA-112314,R-HSA-1257604,h
R-HSA-1852241,R-HSA-1257604,h
R-HSA-9612973,R-HSA-1257604,h
R-HSA-1632852,R-HSA-1257604,h
R-HSA-68886,R-HSA-1257604,h
R-HSA-9619665,R-HSA-1257604,h
R-HSA-5250941,R-HSA-1257604,h
R-HSA-983231,R-HSA-1257604,h
R-HSA-983169,R-HSA-1257604,h
R-HSA-168643,R-HSA-1257604,h
R-HSA-1834949,R-HSA-1257604,h
R-HSA-168928,R-HSA-1257604,h
R-HSA-982772,R-HSA-1257604,h
R-HSA-9027276,R-HSA-1257604,h
R-HSA-195253,R-HSA-1257604,h
R-HSA-5610787,R-HSA-1257604,h
R-HSA-5688426,R-HSA-1257604,h
R-HSA-392499,R-HSA-1257604,h
R-HSA-446203,R-HSA-1257604,h
R-HSA-199977,R-HSA-1257604,h
R-HSA-5357769,R-HSA-1257604,h
R-HSA-163685,R-HSA-1257604,h
R-HSA-977225,R-HSA-1257604,h
R-HSA-264876,R-HSA-1257604,h
R-HSA-6802957,R-HSA-1257604,h
R-HSA-9635486,R-HSA-1257604,h
R-HSA-879415,R-HSA-1257604,h
R-HSA-3000171,R-HSA-1257604,h
R-HSA-6798695,R-HSA-1257604,h
R-HSA-9027277,R-HSA-1257604,h
R-HSA-9027283,R-HSA-1257604,h
R-HSA-9711097,R-HSA-1257604,h
R-HSA-3214847,R-HSA-1257604,h
R-HSA-168249,R-HSA-1257604,h
R-HSA-3214842,R-HSA-1257604,h
R-HSA-453274,R-HSA-1257604,h
R-HSA-453279,R-HSA-2586552,h
R-HSA-4839726,R-HSA-2586552,h
R-HSA-3247509,R-HSA-2586552,h
R-HSA-3214858,R-HSA-2586552,h
R-HSA-9669938,R-HSA-2586552,h
R-HSA-6802957,R-HSA-2586552,h
R-HSA-983231,R-HSA-2586552,h
R-HSA-913531,R-HSA-2586552,h
R-HSA-1170546,R-HSA-2586552,h
R-HSA-982772,R-HSA-2586552,h
R-HSA-9674555,R-HSA-2586552,h
R-HSA-5683057,R-HSA-2586552,h
R-HSA-5684996,R-HSA-2586552,h
R-HSA-9006335,R-HSA-2586552,h
R-HSA-9027284,R-HSA-2586552,h
R-HSA-9027277,R-HSA-2586552,h
R-HSA-9027276,R-HSA-2586552,h
R-HSA-9027283,R-HSA-2586552,h
R-HSA-1226099,R-HSA-2586552,h
R-HSA-9682385,R-HSA-2586552,h
R-HSA-9607240,R-HSA-2586552,h
R-HSA-2219528,R-HSA-2586552,h
R-HSA-9700206,R-HSA-2586552,h
R-HSA-9609646,R-HSA-2586552,h
R-HSA-9006925,R-HSA-2586552,h
R-HSA-1257604,R-HSA-2586552,h
R-HSA-74752,R-HSA-2586552,h
R-HSA-201556,R-HSA-2586552,h
R-HSA-1500931,R-HSA-2586552,h
R-HSA-391160,R-HSA-2586552,h
R-HSA-210990,R-HSA-2586552,h
R-HSA-418346,R-HSA-2586552,h
R-HSA-432142,R-HSA-2586552,h
R-HSA-114604,R-HSA-2586552,h
R-HSA-388841,R-HSA-2586552,h
R-HSA-177929,R-HSA-2586552,h
R-HSA-190236,R-HSA-2586552,h
R-HSA-2980736,R-HSA-2586552,h
R-HSA-400508,R-HSA-2586552,h
R-HSA-1236394,R-HSA-2586552,h
R-HSA-2892247,R-HSA-2586552,h
R-HSA-391251,R-HSA-2586552,h
R-HSA-390466,R-HSA-2586552,h
R-HSA-109606,R-HSA-2586552,h
R-HSA-1640170,R-HSA-165159,h
R-HSA-69278,R-HSA-165159,h
R-HSA-8953897,R-HSA-165159,h
R-HSA-2262752,R-HSA-165159,h
R-HSA-9711123,R-HSA-165159,h
R-HSA-1266738,R-HSA-165159,h
R-HSA-1643685,R-HSA-165159,h
R-HSA-5663202,R-HSA-165159,h
R-HSA-5663205,R-HSA-165159,h
R-HSA-74160,R-HSA-165159,h
R-HSA-212436,R-HSA-165159,h
R-HSA-168256,R-HSA-165159,h
R-HSA-1280215,R-HSA-165159,h
R-HSA-9607240,R-HSA-165159,h
R-HSA-1280218,R-HSA-165159,h
R-HSA-388841,R-HSA-165159,h
R-HSA-109581,R-HSA-165159,h
R-HSA-109606,R-HSA-165159,h
R-HSA-9006925,R-HSA-165159,h
R-HSA-388396,R-HSA-165159,h
R-HSA-8939211,R-HSA-165159,h
R-HSA-9612973,R-HSA-165159,h
R-HSA-2151209,R-HSA-165159,h
R-HSA-9711097,R-HSA-165159,h
R-HSA-163685,R-HSA-165159,h
R-HSA-163680,R-HSA-165159,h
R-HSA-3371556,R-HSA-165159,h
R-HSA-109582,R-HSA-165159,h
R-HSA-450604,R-HSA-165159,h
R-HSA-450385,R-HSA-165159,h
R-HSA-354192,R-HSA-165159,h
R-HSA-72613,R-HSA-165159,h
R-HSA-422475,R-HSA-165159,h
R-HSA-913531,R-HSA-165159,h
R-HSA-450408,R-HSA-165159,h
R-HSA-429914,R-HSA-165159,h
R-HSA-429947,R-HSA-165159,h
R-HSA-156842,R-HSA-165159,h
R-HSA-72764,R-HSA-165159,h
R-HSA-9612973,R-HSA-380972,h
R-HSA-2151209,R-HSA-380972,h
R-HSA-9711097,R-HSA-380972,h
R-HSA-3371556,R-HSA-380972,h
R-HSA-388841,R-HSA-380972,h
R-HSA-163680,R-HSA-380972,h
R-HSA-9612973,R-HSA-166208,h
R-HSA-1632852,R-HSA-166208,h
R-HSA-3371556,R-HSA-166208,h
R-HSA-72766,R-HSA-166208,h
R-HSA-72613,R-HSA-166208,h
R-HSA-6802957,R-HSA-166208,h
R-HSA-392517,R-HSA-166208,h
R-HSA-450531,R-HSA-166208,h
R-HSA-450513,R-HSA-166208,h
R-HSA-450385,R-HSA-166208,h
R-HSA-109606,R-HSA-166208,h
R-HSA-2028269,R-HSA-166208,h
R-HSA-1445148,R-HSA-166208,h
R-HSA-1280215,R-HSA-166208,h
R-HSA-913531,R-HSA-166208,h
R-HSA-8953854,R-HSA-166208,h
R-HSA-72203,R-HSA-166208,h
R-HSA-72202,R-HSA-166208,h
R-HSA-429914,R-HSA-166208,h
R-HSA-429947,R-HSA-166208,h
R-HSA-8953897,R-HSA-166208,h
R-HSA-2262752,R-HSA-166208,h
R-HSA-1643685,R-HSA-166208,h
R-HSA-5663202,R-HSA-166208,h
R-HSA-2219528,R-HSA-166208,h
R-HSA-162582,R-HSA-166208,h
R-HSA-9006925,R-HSA-166208,h
R-HSA-1257604,R-HSA-166208,h
R-HSA-9675108,R-HSA-166208,h
R-HSA-422475,R-HSA-166208,h
R-HSA-450408,R-HSA-166208,h
R-HSA-927802,R-HSA-166208,h
R-HSA-975956,R-HSA-166208,h
R-HSA-975957,R-HSA-166208,h
R-HSA-9711097,R-HSA-166208,h
R-HSA-3304351,R-HSA-166208,h
R-HSA-9679506,R-HSA-166208,h
R-HSA-983705,R-HSA-166208,h
R-HSA-9006936,R-HSA-166208,h
R-HSA-170834,R-HSA-166208,h
R-HSA-9700206,R-HSA-166208,h
R-HSA-2408522,R-HSA-166208,h
R-HSA-156842,R-HSA-166208,h
R-HSA-1799339,R-HSA-166208,h
R-HSA-72764,R-HSA-166208,h
